"Tanaka 90, Specimen 4"	
9.792	33.48628
10.88	36.56207
11.968	38.97719
13.056	41.14881
14.144	43.17683
15.232	45.01369
16.32	46.72358
17.408	48.34865
18.496	49.91968
19.584	51.45524
20.672	52.96368
21.76	54.44011
22.848	55.88115
23.936	57.24491
25.024	58.44953
26.112	59.40176
27.2	60.12099
26.112	51.78154
25.024	43.50529
23.936	35.31006
22.848	27.23857
21.76	19.51849
20.672	12.49707
19.584	6.49159
18.496	1.67557
17.408	-2.05936
16.32	-4.90951
15.232	-6.95787
14.144	-8.63669
13.056	-10.10182
11.968	-11.3903
10.88	-12.5358
9.792	-13.56673
8.704	-14.50574
7.616	-15.36986
6.528	-16.17111
5.44	-16.91708
4.352	-17.61215
3.264	-18.25807
2.176	-18.85436
1.088	-19.39958
5.2955364e-11	-19.89171
-1.088	-20.32898
-2.176	-20.71048
-3.264	-21.03671
-4.352	-21.30979
-5.44	-21.53328
-6.528	-23.00909
-7.616	-26.11182
-8.704	-29.44087
-9.792	-33.13154
-10.88	-36.27227
-11.968	-38.75956
-13.056	-40.96885
-14.144	-43.07472
-15.232	-44.91133
-16.32	-46.64047
-17.408	-48.27776
-18.496	-49.85682
-19.584	-51.39809
-20.672	-52.90773
-21.76	-54.38609
-22.848	-55.82901
-23.936	-57.19317
-25.024	-58.3861
-26.112	-59.35759
-27.2	-60.06223
-26.112	-51.74787
-25.024	-43.47482
-23.936	-35.2652
-22.848	-27.15702
-21.76	-19.43209
-20.672	-12.39842
-19.584	-6.40386
-18.496	-1.60178
-17.408	2.12119
-16.32	4.95172
-15.232	6.9882
-14.144	8.66197
-13.056	10.12384
-11.968	11.40969
-10.88	12.55307
-9.792	13.58225
-8.704	14.51972
-7.616	15.38235
-6.528	16.18207
-5.44	16.92644
-4.352	17.61974
-3.264	18.26366
-2.176	18.85779
-1.088	19.40062
-5.527457e-11	19.89017
1.632	20.52095
3.264	21.02713
4.896	21.41454
6.528	23.04309
8.16	27.16403
9.792	32.80587
11.424	37.32573
13.056	39.99213
14.688	43.69987
16.32	46.34768
17.952	48.78143
19.584	51.1036
21.216	53.35675
22.848	55.54016
24.48	57.56471
26.112	59.17291
27.744	60.22488
29.376	60.71257
31.008	60.97002
32.64	61.04663
34.272	61.0532
35.904	60.97638
37.536	60.89416
39.168	60.79391
40.8	60.69075
39.168	48.506
37.536	36.57221
35.904	25.3692
34.272	15.66327
32.64	8.15417
31.008	2.66696
29.376	-1.25519
27.744	-4.02469
26.112	-5.89692
24.48	-7.37168
22.848	-8.66538
21.216	-9.83892
19.584	-10.90699
17.952	-11.87435
16.32	-12.74006
14.688	-13.50094
13.056	-14.15441
11.424	-14.70065
9.792	-15.14361
8.16	-15.49104
6.528	-15.75341
4.896	-15.94261
3.264	-16.07063
1.632	-16.14858
8.6390614e-11	-16.18621
-1.632	-16.19174
-3.264	-16.17198
-4.896	-15.04559
-6.528	-19.52352
-8.16	-26.32352
-9.792	-32.13946
-11.424	-37.12484
-13.056	-41.01014
-14.688	-43.90682
-16.32	-46.386
-17.952	-48.70571
-19.584	-50.93702
-21.216	-53.07136
-22.848	-55.0539
-24.48	-56.783
-26.112	-58.09831
-27.744	-58.96584
-29.376	-59.52424
-31.008	-59.87575
-32.64	-60.05927
-34.272	-60.07527
-35.904	-60.03501
-37.536	-59.98205
-39.168	-59.90091
-40.8	-59.80762
-39.168	-47.63878
-37.536	-35.6505
-35.904	-24.39075
-34.272	-14.59739
-32.64	-6.99553
-31.008	-1.37992
-29.376	2.74092
-27.744	5.7927
-26.112	8.03794
-24.48	9.57885
-22.848	10.76648
-21.216	11.79922
-19.584	12.69591
-17.952	13.46147
-16.32	14.09933
-14.688	14.61454
-13.056	15.01507
-11.424	15.31187
-9.792	15.51838
-8.16	15.64937
-6.528	15.71969
-4.896	15.74301
-3.264	15.73098
-1.632	15.69285
-8.9869422e-11	15.63563
1.632	15.56448
3.264	15.48312
4.896	15.4794
6.528	17.54164
8.16	22.25639
9.792	26.28155
11.424	29.5778
13.056	31.7851
14.688	33.44126
16.32	34.78546
17.952	35.99385
19.584	37.16376
21.216	39.07422
22.848	41.06383
24.48	42.95487
26.112	44.70788
27.744	46.30698
29.376	47.7168
31.008	48.89793
32.64	49.80464
34.272	50.40195
35.904	50.74256
37.536	50.9324
39.168	51.0249
40.8	51.03567
39.168	38.9312
37.536	27.19499
35.904	16.58057
34.272	8.34013
32.64	2.44273
31.008	-1.73383
29.376	-4.77026
27.744	-7.04129
26.112	-8.72226
24.48	-9.96751
22.848	-11.01138
21.216	-11.94525
19.584	-12.76851
17.952	-13.47848
16.32	-14.07382
14.688	-14.5564
13.056	-14.93207
11.424	-15.21024
9.792	-15.40303
8.16	-15.52397
6.528	-15.58678
4.896	-15.60426
3.264	-15.58746
1.632	-15.5453
9.3348231e-11	-15.48464
-1.632	-15.41053
-3.264	-15.32662
-4.896	-12.98026
-6.528	-16.87545
-8.16	-19.71503
-9.792	-24.28016
-11.424	-28.08097
-13.056	-30.65113
-14.688	-32.46857
-16.32	-33.94312
-17.952	-35.2019
-19.584	-36.37619
-21.216	-38.27288
-22.848	-40.31066
-24.48	-42.25459
-26.112	-44.07563
-27.744	-45.75096
-29.376	-47.26293
-31.008	-48.58312
-32.64	-49.40472
-34.272	-50.27901
-35.904	-50.67074
-37.536	-50.88722
-39.168	-51.01834
-40.8	-51.0933
-39.168	-39.16525
-37.536	-27.3579
-35.904	-16.75022
-34.272	-8.46582
-32.64	-2.49921
-31.008	1.74249
-29.376	4.83188
-27.744	7.13186
-26.112	8.85049
-24.48	10.11557
-22.848	11.16387
-21.216	12.09704
-19.584	12.91701
-17.952	13.62141
-16.32	14.20916
-14.688	14.68249
-13.056	15.04766
-11.424	15.31463
-9.792	15.49626
-8.16	15.60691
-6.528	15.66098
-4.896	15.67157
-3.264	15.6497
-1.632	15.60399
-9.7116941e-11	15.54092
2.176	15.43778
4.352	15.34037
6.528	16.66122
8.704	21.77403
10.88	27.87912
13.056	31.18067
15.232	33.29803
17.408	34.99237
19.584	36.52235
21.76	39.04435
23.936	41.69876
26.112	44.14912
28.288	46.32909
30.464	48.17859
32.64	49.43421
34.816	50.33067
36.992	50.70285
39.168	50.84181
41.344	50.83879
43.52	50.89349
45.696	50.85616
47.872	50.80921
50.048	50.75019
52.224	50.58693
54.4	50.49358
52.224	34.86896
50.048	21.31465
47.872	12.14733
45.696	6.44474
43.52	2.5057
41.344	-0.50300069
39.168	-2.87615
36.992	-4.6945
34.816	-6.00106
32.64	-6.8515
30.464	-7.40483
28.288	-7.78937
26.112	-8.03705
23.936	-8.17685
21.76	-8.23574
19.584	-8.23594
17.408	-8.19441
15.232	-8.12349
13.056	-8.0319
10.88	-7.9257
8.704	-7.80907
6.528	-7.68493
4.352	-7.55531
2.176	-7.42164
9.5860771e-11	-7.32621
-2.176	-9.1472
-4.352	-14.40139
-6.528	-21.41077
-8.704	-27.28955
-10.88	-32.02118
-13.056	-35.84479
-15.232	-39.0133
-17.408	-41.83354
-19.584	-44.1612
-21.76	-46.06519
-23.936	-47.43463
-26.112	-48.41792
-28.288	-49.10416
-30.464	-49.57618
-32.64	-49.88968
-34.816	-50.09151
-36.992	-50.20852
-39.168	-50.20838
-41.344	-50.28124
-43.52	-50.2552
-45.696	-50.2153
-47.872	-50.1485
-50.048	-50.02609
-52.224	-49.87276
-54.4	-49.70976
-52.224	-34.13247
-50.048	-20.43921
-47.872	-11.14104
-45.696	-5.33459
-43.52	-1.34546
-41.344	1.66851
-39.168	4.00482
-36.992	5.75752
-34.816	6.99553
-32.64	7.81273
-30.464	8.31147
-28.288	8.58134
-26.112	8.70999
-23.936	8.74826
-21.76	8.72846
-19.584	8.66723
-17.408	8.57203
-15.232	8.46582
-13.056	8.34898
-10.88	8.22545
-8.704	8.0964
-6.528	7.96429
-4.352	7.83412
-2.176	7.70332
-6.184562e-11	7.42764
2.176	11.17237
4.352	17.34027
6.528	21.87492
8.704	24.92144
10.88	27.53641
13.056	29.98339
15.232	32.32908
17.408	34.42946
19.584	36.26664
21.76	37.66535
23.936	38.65203
26.112	39.39334
28.288	39.87362
30.464	40.22834
32.64	40.4672
34.816	40.62429
36.992	40.74278
39.168	40.83028
41.344	40.91244
43.52	40.99447
45.696	41.00789
47.872	41.03656
50.048	41.04831
52.224	41.0277
54.4	40.95094
52.224	25.55483
50.048	13.94792
47.872	7.48458
45.696	3.35823
43.52	0.23911628
41.344	-2.29635
39.168	-4.32293
36.992	-5.85196
34.816	-6.92695
32.64	-7.63281
30.464	-8.06102
28.288	-8.29138
26.112	-8.39679
23.936	-8.42114
21.76	-8.39071
19.584	-8.32339
17.408	-8.22078
15.232	-8.1086
13.056	-7.98705
10.88	-7.85887
8.704	-7.72615
6.528	-7.59124
4.352	-7.44134
2.176	-7.32161
2.7830569e-11	-7.07561
-2.176	-13.07732
-4.352	-16.82639
-6.528	-21.35039
-8.704	-24.51694
-10.88	-27.1048
-13.056	-29.53225
-15.232	-31.80983
-17.408	-34.01721
-19.584	-35.8618
-21.76	-37.38018
-23.936	-38.4692
-26.112	-39.235
-28.288	-39.78617
-30.464	-40.16668
-32.64	-40.44452
-34.816	-40.63363
-36.992	-40.7575
-39.168	-40.85305
-41.344	-40.93156
-43.52	-40.99539
-45.696	-41.04813
-47.872	-41.09237
-50.048	-41.12527
-52.224	-41.14945
-54.4	-41.13865
-52.224	-25.89095
-50.048	-14.06971
-47.872	-7.37862
-45.696	-3.17105
-43.52	-0.01529093
-41.344	2.54518
-39.168	4.60025
-36.992	6.15845
-34.816	7.25828
-32.64	7.98028
-30.464	8.41815
-28.288	8.65374
-26.112	8.75854
-23.936	8.78017
-21.76	8.74465
-19.584	8.67078
-17.408	8.56822
-15.232	8.45599
-13.056	8.3275
-10.88	8.2075
-8.704	8.07578
-6.528	7.94171
-4.352	7.81132
-2.176	7.71358
6.184562e-12	7.41611
