"Tanaka 90, Specimen 4"	
-1.088	-18.56671
-0.9792	-17.44462
-0.8704	-16.28812
-0.7616	-15.04978
-0.6528	-13.72973
-0.544	-12.21041
-0.4352	-10.42065
-0.3264	-8.32687
-0.2176	-5.83352
-0.1088	-2.94954
-4.3968377e-13	0.53319311
0.1088	4.16363
0.2176	7.37408
0.3264	10.02526
0.4352	12.17112
0.544	13.88809
0.6528	15.31291
0.7616	16.57519
0.8704	17.72786
0.9792	18.82184
1.088	19.87176
1.1968	20.88046
1.3056	21.86228
1.4144	22.82566
1.5232	23.77777
1.632	24.72141
1.7408	25.65583
1.8496	26.57594
1.9584	27.49202
2.0672	28.40531
2.176	29.31722
2.2848	30.22532
2.3936	31.13047
2.5024	32.02982
2.6112	32.92533
2.72	33.81241
2.6112	32.81124
2.5024	31.80804
2.3936	30.79967
2.2848	29.78991
2.176	28.7805
2.0672	27.77409
1.9584	26.77022
1.8496	25.76475
1.7408	24.74382
1.632	23.72498
1.5232	22.70442
1.4144	21.67435
1.3056	20.63347
1.1968	19.57311
1.088	18.48062
0.9792	17.36081
0.8704	16.2047
0.7616	14.96805
0.6528	13.64574
0.544	12.13045
0.4352	10.34501
0.3264	8.21528
0.2176	5.71155
0.1088	2.82705
6.7160534e-13	-0.686356
-0.1088	-4.29297
-0.2176	-7.48336
-0.3264	-10.11254
-0.4352	-12.23796
-0.544	-13.94743
-0.6528	-15.36095
-0.7616	-16.61835
-0.8704	-17.76777
-0.9792	-18.86029
-1.088	-19.90772
-1.1968	-20.91553
-1.3056	-21.89619
-1.4144	-22.8588
-1.5232	-23.8105
-1.632	-24.75388
-1.7408	-25.68755
-1.8496	-26.60726
-1.9584	-27.52309
-2.0672	-28.43621
-2.176	-29.34782
-2.2848	-30.25577
-2.3936	-31.16061
-2.5024	-32.05968
-2.6112	-32.955
-2.72	-33.84184
-2.6112	-32.84091
-2.5024	-31.83721
-2.3936	-30.82903
-2.2848	-29.81913
-2.176	-28.80967
-2.0672	-27.80325
-1.9584	-26.79929
-1.8496	-25.79407
-1.7408	-24.77354
-1.632	-23.75498
-1.5232	-22.73434
-1.4144	-21.70456
-1.3056	-20.66454
-1.1968	-19.60475
-1.088	-18.51327
-0.9792	-17.39502
-0.8704	-16.24151
-0.7616	-15.00629
-0.6528	-13.68994
-0.544	-12.1845
-0.4352	-10.41259
-0.3264	-8.29368
-0.2176	-5.80966
-0.1088	-2.93567
-8.9386254e-13	0.52457577
0.2176	7.35235
0.4352	12.2493
0.6528	15.31012
0.8704	17.71677
1.088	19.86234
1.3056	21.85328
1.5232	23.76928
1.7408	25.64798
1.9584	27.48469
2.176	29.31039
2.3936	31.12415
2.6112	32.91972
2.8288	34.67269
3.0464	36.38248
3.264	38.08777
3.4816	39.77488
3.6992	41.42718
3.9168	43.06972
4.1344	44.70191
4.352	46.32133
4.5696	47.92714
4.7872	49.51391
5.0048	51.07069
5.2224	52.57752
5.44	54.00675
5.2224	52.03498
5.0048	50.06662
4.7872	48.09403
4.5696	46.12997
4.352	44.17703
4.1344	42.23385
3.9168	40.29651
3.6992	38.36466
3.4816	36.42659
3.264	34.48507
3.0464	32.55409
2.8288	30.63006
2.6112	28.71482
2.3936	26.79877
2.176	24.87581
1.9584	22.95244
1.7408	21.02311
1.5232	19.05197
1.3056	17.0362
1.088	14.95411
0.8704	12.68974
0.6528	10.053
0.4352	6.95465
0.2176	3.21607
2.2419022e-12	-1.93663
-0.2176	-7.87724
-0.4352	-12.43004
-0.6528	-15.48802
-0.8704	-17.85946
-1.088	-19.9898
-1.3056	-21.97364
-1.5232	-23.88496
-1.7408	-25.75904
-1.9584	-27.59396
-2.176	-29.41818
-2.3936	-31.23053
-2.6112	-33.02341
-2.8288	-34.77659
-3.0464	-36.4898
-3.264	-38.1949
-3.4816	-39.88547
-3.6992	-41.53788
-3.9168	-43.18046
-4.1344	-44.81063
-4.352	-46.42817
-4.5696	-48.03012
-4.7872	-49.60996
-5.0048	-51.15557
-5.2224	-52.64704
-5.44	-54.05907
-5.2224	-52.08735
-5.0048	-50.11953
-4.7872	-48.15001
-4.5696	-46.1855
-4.352	-44.23217
-4.1344	-42.28981
-3.9168	-40.35311
-3.6992	-38.42207
-3.4816	-36.48855
-3.264	-34.54917
-3.0464	-32.61791
-2.8288	-30.69566
-2.6112	-28.78256
-2.3936	-26.87047
-2.176	-24.94959
-1.9584	-23.03055
-1.7408	-21.10638
-1.5232	-19.145
-1.3056	-17.13868
-1.088	-15.07527
-0.8704	-12.86219
-0.6528	-10.26257
-0.4352	-7.28364
-0.2176	-3.88733
-2.7057434e-12	0.22264465
0.2176	4.90236
0.4352	9.4338
0.6528	13.01163
0.8704	15.64861
1.088	17.87455
1.3056	19.93897
1.5232	21.88366
1.7408	23.76686
1.9584	25.61784
2.176	27.43443
2.3936	29.2319
2.6112	31.02032
